分類,情境標題,問題描述,應用程式任務,提示／關鍵功能點,完整提示詞範例
專案管理 (AI for Project Management),會議紀錄轉 Action Item 與心智圖,會議結束後整理 Minutes 繁雜，常漏掉關鍵決策與代辦事項分配。,上傳會議逐字稿，AI 提取核心結論、Action Items（含負責人/時間）與心智圖。,1. 用 Markdown 輸出任務分配表格。2. 產出 Mermaid 心智圖語法並即時渲染。3. 摘要「高階經理人 1 分鐘速讀版」。,請為我建構一個「會議記錄智慧分析、行動清單與心智圖生成器」的 Web App。1. **UI 設計**：現代化協作工具風格。左側可選擇會議類型並貼上逐字稿，右側分為三個 Tabs：「待辦事項 (Kanban)」、「心智圖 (Mermaid)」、「主管 1 分鐘簡報」。2. **核心功能**：(a) 看板功能：將 Action Items 轉換為「待辦/進行中/已完成」的互動看板（可拖動或點擊改變狀態）。(b) 心智圖：用 Mermaid.js 即時繪製會議議題與分支結構。3. **一鍵通知**：自動生成一段準備發送到 Slack 的「會議精簡摘要與指派人員複製範本」。4. **技術細節**：單一 HTML，引入 Tailwind CSS、Mermaid.js、Lucide Icons。必須寫好一個「專案進度同步會議」的 1000 字預設逐字稿。
,進度追蹤與卡關風險預警,PM 難以從眾多週報中發現隱性延遲，缺乏全局進度監控。,貼上 Slack 每日匯報，AI 自動產生 Gantt 圖（Mermaid 渲染）並標記紅黃綠燈。,1. Gantt 圖即時呈現里程碑時程。2. 提煉「卡關點 (Blockers)」並提供解決建議。3. 自動生成「風險緩解方案」。,請為我建構一個「Slack 匯報進度分析與風險甘特圖儀表板」的 Web App。1. **UI 設計**：深色 SaaS Dashboard 風格。左側為團隊每日/每週工作匯報貼上區，右側為專案健康度儀表板。2. **核心功能**：(a) 健康燈號：自動將專案評為「紅燈 (卡關)、黃燈 (有風險)、綠燈 (安全)」。(b) 里程碑甘特圖：用 Mermaid.js 動態渲染甘特圖時程。(c) 風險點提煉：條列出卡關的人員、受阻原因與建議 PM 介入策略。3. **互動點**：點擊甘特圖節點可彈出該任務的詳細資訊與風險預測。4. **技術細節**：單一 HTML 檔案，Tailwind CSS。整合 Mermaid 庫，動態狀態管理，UI 需有高級的呼吸燈特效展示紅黃綠燈。
,PRD需求變更衝擊分析器,需求臨時變更（Scope Creep）時，難以估算影響到哪些既有程式模組。,輸入原 PRD、變更點與架構，AI 分析衝擊範圍、影響的 Test Case 及時程。,1. 輸出「衝擊矩陣 (Impact Matrix)」表格。2. 給出「跨團隊協商話術與策略」。3. 提供 Buffer 工時建議。,請為我建構一個「PRD 需求變更衝擊與工時評估矩陣」網頁。1. **UI 設計**：專業敏捷專案管理風格。輸入「原 PRD 核心功能」、「新變更需求」、「系統既有技術架構」。2. **核心功能**：(a) 衝擊矩陣：自動生成表格，列出被影響的模組（如：資料庫 Schema、前端 API、權限控管、第三方金流）與「影響程度 (高/中/低，紅黃綠標示)」。(b) 測試案例異動建議。(c) 工時與時程調整建議（包含防禦性工時 Buffer 估算）。3. **協商助手**：產出一份 PM 寫給工程團隊「安撫並說明變更合理性」的溝通草稿。4. **技術細節**：單一 HTML，Tailwind CSS，點擊「開始衝擊分析」時需有「程式架構掃描中」雷達掃描動畫。
,Story Point 智慧估算與任務拆解,User Story 描述過於模糊，導致 Planning 估點嚴重偏差。,輸入高階 User Story，AI 自動拆解為 5-8 個前後端子任務，並推薦費氏點數。,1. 每個 Sub-task 附帶「驗收標準 (AC)」。2. 標註技術先決條件。3. 提供技術痛點預警。,請為我建構一個「User Story 智慧拆解與斐波那契點數估算工具」Web App。1. **UI 設計**：極簡卡牌風格。輸入需求（如：我想在首頁加入 LINE 登入與綁定會員功能）。2. **核心功能**：(a) 任務拆解：拆成 5 個前後端子任務。(b) 驗收標準：每子任務寫出 BDD 格式（Given-When-Then）驗收條件。(c) 估點卡牌：推薦 Story Point（1, 2, 3, 5, 8 點）及技術原因。3. **互動點**：點擊卡牌能手動修改估點，自動加總總點數。4. **技術細節**：單一 HTML，內建卡牌翻轉（Flip Card）CSS 3D 特效與 Tailwind。
,利害關係人報告多口吻轉換器,PM 面對 CEO、客戶、研發團隊需撰寫不同深度的專案報告。,輸入粗糙週報，一鍵生成四種（工程師、主管、客戶、CEO）客製化報告。,1. 介面提供按鈕一鍵切換預覽。2. 每種報告具備特定的資訊密度與排版。3. 精準調整語氣。請為我建構一個「專案進度多口吻轉換與簡報產生器」Web App。1. **UI 設計**：頂部為粗糙的技術進度日誌輸入框（例如：我們解決了 Redis 緩存雪崩問題）。2. **核心功能**：四個切換 Tabs：(a)【給 CEO】：著重商業價值與交付時程 (b)【給客戶】：專業不失禮貌，隱惡揚善 (c)【給工程師】：硬核技術點、Bug 追蹤 (d)【給銷售/行銷團隊】：賣點總結。3. **視覺排版**：四種報告排版風格不同（CEO 版有數據指標卡，工程師版是 Markdown 列表）。4. **技術細節**：單一 HTML、Tailwind CSS，支援純前端 Tab 快照切換，文字過渡平滑。
未來教育 (AI for Education),互動式蘇格拉底虛擬助教,AI 直接給答案導致學生缺乏思考過程。,打造聊天介面，當學生提問時，AI 扮演蘇格拉底，用提問引導解題。,1. 提示詞設定「溫和引導、不直接給答案」。2. 提供「思維腳手架」。3. UI 呈現學生進度與思考路徑。,請為我建構一個「蘇格拉底引導式虛擬助教」聊天 Web App。1. **UI 設計**：對話視窗。左邊是「助教人格與學習科目設定」，右邊是聊天室。2. **引導邏輯**：AI 助教禁止直接給答案！必須先肯定學生思考，再提出 1 個反問引導其發現盲點。3. **學習鷹架**：對話框下方提供 3 個「提示卡（Hint Buttons）」輔助卡關學生。4. **技術細節**：單一 HTML，Tailwind CSS。有「AI 正在思考...」動畫與訊息滑動泡泡。預載關於「為什麼太空中沒有重力」的引導對話。
,個人化學習路徑與動態地圖,統一進度的教材常讓學生太難或無聊。,輸入學習目標、背景與時間，AI 生成動態學習地圖與關卡測驗。,1. 使用 SVG/CSS 繪製闖關地圖。2. 每關附帶 3 題檢測問答。3. 動態判定解鎖條件，提供鼓勵文案。,請為我建構一個「個人化學習路徑闖關地圖產生器」Web App。1. **UI 設計**：像遊戲關卡地圖的 SVG 視覺界面。左側輸入學習目標。2. **核心功能**：右側繪製點對點、帶進度線的 5 關卡闖關地圖。點擊關卡跳出 Modal 含知識點、學習資源與「進入挑戰」按鈕。3. **動態測試**：3 題選擇題，答對解鎖下一關，答錯跳出「複習小秘笈」。4. **技術細節**：單一 HTML，Tailwind CSS。SVG 繪製互動地圖，JS 控制關卡解鎖/鎖定狀態。
4. **技術細節**：單一 HTML，Tailwind CSS。SVG 繪製互動地圖，JS 控制關卡解鎖/鎖定狀態。
,智慧教案產生與評分量規工具,教師撰寫教案與 Rubrics 耗費大量行政時間。,輸入主題與素養目標，AI 生成 45 分鐘教案與三級評分量規。,1. 輸出 Markdown「評分標準矩陣」。2. 包含課堂破冰小遊戲點子。3. 支援教案下載或一鍵複製。,請為我建構一個「教師專用素養教案與評分量規 (Rubrics) 產生器」網頁。1. **UI 設計**：教案編輯介面。可選年級、學科、素養目標、教學時數。2. **核心功能**：生成完整 45 分鐘教案：含教學活動、時間分配、引導提問、評量方式，附帶 3X4 評分量規表格。3. **課堂互動**：生成「10 分鐘破冰小遊戲」點子。4. **技術細節**：單一 HTML，Tailwind CSS。教案可切換大綱/詳細視圖，提供「匯出為 PDF/Word」格式模擬。
,多語系繪本與沉浸式理解器,幼兒讀外文繪本查字典易分心，缺乏互動。,輸入故事主題，生成雙語故事卡、點擊單字解釋彈窗及插畫 Prompt。,1. UI 採 Flipbook 卡片滑動設計。2. 點擊生字彈出可愛聯想、發音提示。3. 故事後附 3 題閱讀理解問答。,請為我建構一個「幼兒多語系沉浸式互動繪本與理解器」Web App。1. **UI 設計**：可愛童趣的翻頁書（Flipbook）介面。2. **核心功能**：(a) 雙語切換：中/英/日。(b)生字卡彈窗：點擊標記生字跳可愛氣泡彈窗含插圖、發音、例句。(c) 互動問答：3 題趣味答題，答對有撒花特效。3. **插畫 Prompt**：每頁下方提供 Midjourney 用 Image Prompt。4. **技術細節**：單一 HTML，Tailwind CSS。CSS 實現翻頁滑動動畫。音效以 Web Audio API 模擬簡短 Synth 音。
,AI 錯題本與概念盲點剖析器,學生考完僅對答案，未釐清核心盲點，導致重複犯錯。,上傳題目與錯題答案，AI 分析盲點，針對性生成 3 題延伸練習。,1. 輸出「盲點診斷書」。2. 設計動態作答與步驟解析 UI。3. 提供盲點標籤。,請為我建構一個「AI 智慧錯題本與概念盲點剖析系統」網頁。1. **UI 設計**：錯題剪貼簿風格。左側可貼上錯題與錯誤解答，右側展示盲點分析。2. **核心功能**：(a) 盲點診斷：指出哪一步驟思維偏差。(b) 概念重建：用生活類比重新解釋概念。(c) 舉一反三產生 3 題類似練習題與詳細解答步驟。3. **技術細節**：單一 HTML，Tailwind CSS。練習題作答區支援「即時對答案」功能。
科技永續與社會創新 (AI for Social Goods),防災減災即時語警與多語轉譯,災害通報有大量術語且缺乏弱勢友善版本。,輸入防災通知，生成極簡圖文版、新住民多語版及應變指南。,1. 產出「1 分鐘緊急避難卡片與物資清單」。2. 高對比度大字體無障礙設計。3.支援印越泰多語系切換。,請為我建構一個「社區防災警報智慧轉譯與避難指南」Web App。1. **UI 設計**：高對比度、大字體、符合 WCAG 無障礙規範 UI。2. **核心功能**：(a) 訊息轉譯：將生硬災害警報轉為「3 大應變行動」與「黃金避難卡片」。(b) 新住民多語系：一鍵切換印尼/越南/泰/英/繁中。(c) 避難清單：Checkbox 形式的緊急避難包檢查表。3. **互動點**：一鍵撥打緊急電話模擬按鈕。4. **技術細節**：單一 HTML，Tailwind CSS。背景採用黃黑、紅白警戒色搭配。
,海洋與社區廢棄物識別助手,大眾缺乏分類常識，淨灘或回收時不知廢棄物如何正確拆解。,上傳/選取廢棄物圖片，AI 辨識材質、回收類別並展示降解時間。,1. 運用 Gemini Multimodal 圖像識別。2. 輸出碳足跡/降解時間軸。3. 提供回收處理三步驟指引。,請為我建構一個「環保廢棄物影像辨識與降解時間軸模擬器」Web App。1. **UI 設計**：清新綠色永續風格。上方有上傳區或內建圖片範例（保特瓶、鋁罐、漁網、塑膠袋）。2. **核心功能**：(a) 多模態辨識：選取圖片後即時顯示材質與回收類別。(b) 降解時間軸：CSS 時光軸視覺化分解年數（如 450 年）。(c) 拆解三步驟：圖文說明清洗、分類、拆除標籤。3. **技術細節**：單一 HTML，Tailwind CSS。時光軸載入時有由左至右展開動畫，含塑膠微粒危害警告。
,偏鄉銀髮族智慧用藥與隨身助理,長者看不清藥袋、忘記吃藥，缺乏台語/客語語氣叮嚀。,拍下藥袋，AI 產出大字體每日服藥卡，並生成台/客語提醒。,1. 大按鈕極簡 UI，防手抖誤觸。2. 溫和溫暖的兒孫問候語氣。3. 顯眼標記藥物交互作用。,請為我建構一個「偏鄉銀髮族大字體藥袋助理與語音提醒器」Web App。1. **UI 設計**：老人友善超大字體（高對比，早中晚用藥鮮明顏色標記）。2. **核心功能**：(a) 藥袋轉化：貼上藥袋標籤轉為極簡圖像化指南。(b) 語音播報：Web Speech API 以台/客/國語說出服藥提醒。(c) 藥物交互作用提醒。3. **技術細節**：單一 HTML，Tailwind CSS。完整實作 Web Speech API 播報（國語或台語發音）。
,綠色低碳生活碳足跡計算機,大眾想落實減碳，但缺乏對自身行為碳排減量概念。,勾選每日食衣住行行為，AI 計算碳排放估值，換算為「拯救多少棵樹」。,1. 直觀 CSS 碳足跡對比圖表。2. 每日解鎖「綠色挑戰任務」。3. 輸出社群分享減碳成就卡。,請為我建構一個「減碳生活行動計算機與社群成就卡生成器」Web App。1. **UI 設計**：療癒插畫風格。左側為綠色行為勾選（搭捷運、環保杯、蔬食、關燈、不列印）。2. **核心功能**：(a) 減碳量換算：即時計算減少碳排放，以「拯救了 0.05 棵大樹」類比呈現。(b) 成就卡：生成精美「今日減碳勳章」社群圖卡（SVG 渲染）。3. **技術細節**：單一 HTML，Tailwind CSS。勾選行為時右側綠色植物 SVG 動態長大，JS 實作數值增加動畫。
,無障礙點餐與溝通 AI 牌,聽語障、失智長者在餐廳點餐時常因溝通障礙面臨困難。,輸入菜單，AI 轉換為視覺化字卡，並生成語音播放的溝通按鈕。,1. 自動提取菜單核心生成極簡圖示 UI。2. 整合 Web Speech API。3. 包含「不吃辣」「要外帶」等快速按鈕。,請為我建構一個「聽語障與失智長者無障礙點餐與溝通牌」Web App。1. **UI 設計**：九宮格大按鈕、高度直覺圖標介面。2. **核心功能**：(a) 點餐牌：點擊卡片組合點餐清單。(b) 語音一鍵發聲：Web Speech API 朗讀點餐文字。(c) 快速溝通卡：提供「洗手間在哪裡？」、「請問多少錢？」等常備牌。3. **技術細節**：單一 HTML，Tailwind CSS。點擊卡片有明顯視覺選取狀態（震動或外框變色）。
